Pays;Ville;Etablissement;Cote;Lien IIIF
France;Besançon;Bibliothèque municipale;0050;https://bvmm.irht.cnrs.fr/iiif/21534/manifest
France;Besançon;Bibliothèque municipale;0154;https://bvmm.irht.cnrs.fr/iiif/21535/manifest
France;Besançon;Bibliothèque municipale;0155;https://bvmm.irht.cnrs.fr/iiif/21536/manifest
France;Bordeaux;Bibliothèque municipale;0090;https://bvmm.irht.cnrs.fr/iiif/3902/manifest
France;Bordeaux;Bibliothèque municipale;0091;https://bvmm.irht.cnrs.fr/iiif/3901/manifest
France;Bordeaux;Bibliothèque municipale;0094;https://bvmm.irht.cnrs.fr/iiif/3898/manifest
France;Bordeaux;Bibliothèque municipale;1525;https://bvmm.irht.cnrs.fr/iiif/3391/manifest
France;Bordeaux;Bibliothèque municipale;1780;https://bvmm.irht.cnrs.fr/iiif/3386/manifest
France;Bordeaux;Bibliothèque municipale;Inc. 319;https://bvmm.irht.cnrs.fr/iiif/3039/manifest
France;Boulogne-sur-Mer;Bibliothèque municipale;0089;https://bvmm.irht.cnrs.fr/iiif/88/manifest
France;Boulogne-sur-Mer;Bibliothèque municipale;0504;https://bvmm.irht.cnrs.fr/iiif/120/manifest
France;Boulogne-sur-Mer;Bibliothèque municipale;1154;https://bvmm.irht.cnrs.fr/iiif/122/manifest
France;Caen;Musée des Beaux-Arts;FMM.238;https://bvmm.irht.cnrs.fr/iiif/19763/manifest
France;Caen;Musée des Beaux-Arts;FMM.239;https://bvmm.irht.cnrs.fr/iiif/19755/manifest
France;Caen;Musée des Beaux-Arts;FMM.241;https://bvmm.irht.cnrs.fr/iiif/19745/manifest
France;Caen;Musée des Beaux-Arts;FMM.273;https://bvmm.irht.cnrs.fr/iiif/19749/manifest
France;Chalon-sur-Saône;Musée Denon;inv. 2005.0.3.16;https://bvmm.irht.cnrs.fr/iiif/19844/manifest
France;Chalon-sur-Saône;Musée Denon;inv. 2005.0.3.17;https://bvmm.irht.cnrs.fr/iiif/19845/manifest
France;Chalon-sur-Saône;Musée Denon;inv. 2005.0.3.18;https://bvmm.irht.cnrs.fr/iiif/19846/manifest
France;Chantilly;Bibliothèque et archives du musée Condé;0008 (1376);https://bvmm.irht.cnrs.fr/iiif/181/manifest
France;Chantilly;Bibliothèque et archives du musée Condé;0062 (1423);https://bvmm.irht.cnrs.fr/iiif/228/manifest
France;Chantilly;Bibliothèque et archives du musée Condé;0063 (1366);https://bvmm.irht.cnrs.fr/iiif/229/manifest
France;Chantilly;Bibliothèque et archives du musée Condé;0065 (1284);https://bvmm.irht.cnrs.fr/iiif/22470/manifest
France;Chantilly;Bibliothèque et archives du musée Condé;0066 (1383);https://bvmm.irht.cnrs.fr/iiif/201/manifest
France;Chantilly;Bibliothèque et archives du musée Condé;0067 (1371);https://bvmm.irht.cnrs.fr/iiif/226/manifest
France;Chantilly;Bibliothèque et archives du musée Condé;0068 (1141);https://bvmm.irht.cnrs.fr/iiif/227/manifest
France;Chantilly;Bibliothèque et archives du musée Condé;0069 (1456);https://bvmm.irht.cnrs.fr/iiif/203/manifest
France;Chantilly;Bibliothèque et archives du musée Condé;0070 (1457);https://bvmm.irht.cnrs.fr/iiif/202/manifest
