Country;City;Institution;ID;URL
FR;Le Mans;Bibliothèque municipale;186;https://bvmm.irht.cnrs.fr/iiif/2948/manifest
FR;Le Mans;Bibliothèque municipale;371;https://bvmm.irht.cnrs.fr/iiif/3121/manifest
FR;Le Mans;Bibliothèque municipale;519;https://bvmm.irht.cnrs.fr/iiif/3284/manifest
FR;Le Mans;Bibliothèque municipale;688;https://bvmm.irht.cnrs.fr/iiif/3287/manifest
FR;Le Mans;Bibliothèque municipale;700;https://bvmm.irht.cnrs.fr/iiif/3289/manifest
FR;Le Mans;Bibliothèque municipale;inc. R.I.A. 063;https://bvmm.irht.cnrs.fr/iiif/3320/manifest
FR;Mâcon;Bibliothèque municipale;101;https://bvmm.irht.cnrs.fr/iiif/18815/manifest
FR;Melun;Bibliothèque municipale;10;https://bvmm.irht.cnrs.fr/iiif/4537/manifest
FR;Melun;Musée Municipal;inv. 967.47;https://bvmm.irht.cnrs.fr/iiif/4531/manifest
FR;Metz;Bibliothèque municipale;570;https://bvmm.irht.cnrs.fr/iiif/24280/manifest
FR;Metz;Bibliothèque municipale;576;https://bvmm.irht.cnrs.fr/iiif/23148/manifest
FR;Metz;Bibliothèque municipale;598;https://bvmm.irht.cnrs.fr/iiif/23193/manifest
FR;Metz;Bibliothèque municipale;600;https://bvmm.irht.cnrs.fr/iiif/23198/manifest
FR;Metz;Bibliothèque municipale;1484;https://bvmm.irht.cnrs.fr/iiif/23251/manifest
FR;Metz;Bibliothèque municipale;1581;https://bvmm.irht.cnrs.fr/iiif/23380/manifest
FR;Metz;Bibliothèque municipale;1588;https://bvmm.irht.cnrs.fr/iiif/23851/manifest
FR;Metz;Bibliothèque municipale;1598;https://bvmm.irht.cnrs.fr/iiif/23852/manifest
FR;Nantes;Bibliothèque municipale;3072;https://bvmm.irht.cnrs.fr/iiif/4297/manifest
FR;Nantes;Bibliothèque municipale;3340;https://bvmm.irht.cnrs.fr/iiif/4408/manifest
FR;Nantes;Bibliothèque municipale;0019 (lat. 0019);https://bvmm.irht.cnrs.fr/iiif/4204/manifest
FR;Nantes;Bibliothèque municipale;0020 (lat. 0020);https://bvmm.irht.cnrs.fr/iiif/4203/manifest
FR;Nantes;Bibliothèque municipale;0021 (lat. 0021);https://bvmm.irht.cnrs.fr/iiif/4202/manifest
FR;Nantes;Bibliothèque municipale;0022 (lat. 0022);https://bvmm.irht.cnrs.fr/iiif/4201/manifest
FR;Nantes;Musée Dobrée;9;https://bvmm.irht.cnrs.fr/iiif/4318/manifest
FR;Nantes;Musée Dobrée;13;https://bvmm.irht.cnrs.fr/iiif/4323/manifest
FR;Nantes;Musée Dobrée;27;https://bvmm.irht.cnrs.fr/iiif/4328/manifest
FR;Nantes;Musée Dobrée;28;https://bvmm.irht.cnrs.fr/iiif/4329/manifest
FR;Nantes;Musée Dobrée;30;https://bvmm.irht.cnrs.fr/iiif/4331/manifest
FR;Nantes;Musée Dobrée;31;https://bvmm.irht.cnrs.fr/iiif/4332/manifest
FR;Nantes;Musée Dobrée;33;https://bvmm.irht.cnrs.fr/iiif/4334/manifest
FR;Nantes;Musée Dobrée;34;https://bvmm.irht.cnrs.fr/iiif/4335/manifest
FR;Nantes;Musée Dobrée;0012, t. I;https://bvmm.irht.cnrs.fr/iiif/4321/manifest
FR;Nantes;Musée Dobrée;0012, t. II;https://bvmm.irht.cnrs.fr/iiif/4322/manifest
FR;Nantes;Musée Dobrée;2005.1.1;https://bvmm.irht.cnrs.fr/iiif/4337/manifest
FR;Nantes;Musée Dobrée;impr. 0690.2776;https://bvmm.irht.cnrs.fr/iiif/4308/manifest
FR;Nîmes;Bibliothèque municipale;6;https://bvmm.irht.cnrs.fr/iiif/5294/manifest
FR;Nîmes;Bibliothèque municipale;8;https://bvmm.irht.cnrs.fr/iiif/5295/manifest
FR;Nîmes;Bibliothèque municipale;9;https://bvmm.irht.cnrs.fr/iiif/5296/manifest
FR;Paris;Bibliothèque de l'Arsenal;288;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550008104/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;290;https://gallica.bnf.fr/iiif/ark:/12148/btv1b525011578/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;291;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550103847/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;424;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550131995/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;426;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55013078h/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;434;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55011051v/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;439;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550130827/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;557;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55006457g/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;562;https://gallica.bnf.fr/iiif/ark:/12148/btv1b52505805b/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;565;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550094367/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;569;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55009437p/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;615;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55010392r/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;616;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55012863j/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;634;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55010382b/manifest.json
