Country;Settlement;Repository;Shelfmark;manifest;IMPR
DE;Karlsruhe;Badische Landesbibliothek;St. Peter perg. 107;https://digital.blb-karlsruhe.de/i3f/v20/408494/manifest;
DE;Karlsruhe;Badische Landesbibliothek;St. Peter perg. 118;https://digital.blb-karlsruhe.de/i3f/v20/532898/manifest;
DE;Karlsruhe;Badische Landesbibliothek;St. Peter perg. 38a;https://digital.blb-karlsruhe.de/i3f/v20/575155/manifest;
DE;Karlsruhe;Badische Landesbibliothek;St. Peter perg. 66;https://digital.blb-karlsruhe.de/i3f/v20/574742/manifest;
DE;Karlsruhe;Badische Landesbibliothek;St. Peter perg. 76;https://digital.blb-karlsruhe.de/i3f/v20/408601/manifest;
DE;Karlsruhe;Badische Landesbibliothek;St. Peter perg. 77;https://digital.blb-karlsruhe.de/i3f/v20/574763/manifest;
DE;Karlsruhe;Badische Landesbibliothek;St. Peter perg. 99;https://digital.blb-karlsruhe.de/i3f/v20/574692/manifest;
DE;München;Bayerische Staatsbibliothek;4 Inc.c.a. 756 g;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00070331/manifest;Impr
DE;München;Bayerische Staatsbibliothek;Cgm 8346;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00036276/manifest;
DE;München;Bayerische Staatsbibliothek;Clm 06116;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00029188/manifest;
DE;München;Bayerische Staatsbibliothek;Clm 08713;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00036252/manifest;
DE;München;Bayerische Staatsbibliothek;Clm 10103;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00047854/manifest;
DE;München;Bayerische Staatsbibliothek;Clm 23634;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00019607/manifest;
DE;München;Bayerische Staatsbibliothek;Clm 23637;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107615/manifest;
DE;München;Bayerische Staatsbibliothek;Clm 28244;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00105800/manifest;
DE;München;Bayerische Staatsbibliothek;Clm 30147;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00034958/manifest;
DE;München;Bayerische Staatsbibliothek;Cod. gall. 40;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00095049/manifest;
DE;München;Bayerische Staatsbibliothek;Inc.s.a. 77;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00036126/manifest;Impr
FR;Abbeville;Bibliothèque municipale;015;https://bvmm.irht.cnrs.fr/iiif/21537/manifest;
FR;Albi;Bibliothèque municipale;0052 (004);https://bvmm.irht.cnrs.fr/iiif/2801/manifest;
FR;Albi;Bibliothèque municipale;0053 (002);https://bvmm.irht.cnrs.fr/iiif/2804/manifest;
FR;Albi;Bibliothèque municipale;inc. Roch. 12429;https://bvmm.irht.cnrs.fr/iiif/2853/manifest;Impr
FR;Angers;Bibliothèque municipale;2047;https://bvmm.irht.cnrs.fr/iiif/4659/manifest;
FR;Angers;Bibliothèque municipale;2048;https://bvmm.irht.cnrs.fr/iiif/4660/manifest;
FR;Angers;Bibliothèque municipale;2104;https://bvmm.irht.cnrs.fr/iiif/1140/manifest;
FR;Angers;Bibliothèque municipale;2111;https://bvmm.irht.cnrs.fr/iiif/1141/manifest;
FR;Angers;Bibliothèque municipale;0134 (0126);https://bvmm.irht.cnrs.fr/iiif/4645/manifest;
FR;Angers;Bibliothèque municipale;0138 (0130);https://bvmm.irht.cnrs.fr/iiif/1069/manifest;
FR;Angers;Bibliothèque municipale;impr. Rés. T 1343;https://bvmm.irht.cnrs.fr/iiif/1147/manifest;Impr
FR;Angers;Musée des Beaux-Arts;2003.1.071;https://bvmm.irht.cnrs.fr/iiif/1383/manifest;
FR;Angers;Musée des Beaux-Arts;2003.1.072;https://bvmm.irht.cnrs.fr/iiif/2385/manifest;
FR;Angers;Musée des Beaux-Arts;2003.1.073;https://bvmm.irht.cnrs.fr/iiif/1385/manifest;
FR;Angers;Musée des Beaux-Arts;2003.1.074;https://bvmm.irht.cnrs.fr/iiif/1386/manifest;
FR;Angers;Musée des Beaux-Arts;2003.1.075;https://bvmm.irht.cnrs.fr/iiif/1387/manifest;
FR;Angers;Musée des Beaux-Arts;2003.1.076;https://bvmm.irht.cnrs.fr/iiif/1411/manifest;
FR;Angers;Musée des Beaux-Arts;2003.1.085;https://bvmm.irht.cnrs.fr/iiif/1388/manifest;
FR;Angers;Musée des Beaux-Arts;2003.1.784;https://bvmm.irht.cnrs.fr/iiif/1397/manifest;
FR;Angers;Musée des Beaux-Arts;2003.1.785;https://bvmm.irht.cnrs.fr/iiif/1399/manifest;
FR;Angers;Musée des Beaux-Arts;2003.1.786;https://bvmm.irht.cnrs.fr/iiif/1400/manifest;
