"from","to","weight"
"Agen","Hénin-Liétard Notre-Dame O.S.A.",44
"Agen","Hortulus animae",32
"Agen","Josaphat Notre-Dame O.S.B.",34
"Agen","Köln",35
"Agen","Konstanz",38
"Agen","La Croix-Saint-Leufroy O.S.B.",16
"Agen","La Riche Saint-Côme O.S.A.",41
"Agen","Lagrasse Notre-Dame O.S.B.",32
"Agen","Langres",45
"Agen","Laon",54
"Agen","Le Mans",50
"Agen","Le Puy-en-Velay",34
"Agen","Lérida",36
"Agen","Lérins O.S.B.",44
"Agen","Liège [1201 to 1300]",32
"Agen","Liège [1401 to 1500]",28
"Agen","Lille Saint-Pierre",48
"Agen","Limoges",60
"Agen","Limoges Saint-Martial O.S.B.",45
"Agen","Lisieux",37
"Agen","Loches",38
"Agen","Lund",26
"Agen","Lyon",50
"Agen","Lyre Notre-Dame O.S.B.",33
"Agen","Mâcon",55
"Agen","Maguelonne",42
"Agen","Mainz",37
"Agen","Marmoutier O.S.B.",41
"Agen","Marseille",52
"Agen","Marseille Saint-Victor O.S.B.",48
"Agen","Meaux",47
"Agen","Mende",37
"Agen","Metz",42
"Agen","Metz Saint-Arnould O.S.B.",23
"Agen","Mons Sainte-Waudru O.S.A.",48
"Agen","Mont Saint-Michel",34
"Agen","Montier-la-Celle O.S.B.",35
"Agen","Montiéramey O.S.B.",47
"Agen","Montmajour O.S.B.",47
"Agen","Mouzon Notre-Dame O.S.B.",37
"Agen","Nantes",50
"Agen","Narbonne",34
"Agen","Nevers",41
"Agen","Nivelles Sainte-Gertrude",34
"Agen","Noyon",52
"Agen","O.Cael.",33
"Agen","O.Camal.",55
"Agen","O.Carm.",52
"Agen","O.Cart.",28
"Agen","O.Cist.",49
"Agen","O.Hosp.",50
"Agen","O.P.",40
"Agen","O.Praem.",52
"Agen","O.S.B. Vall.",37
"Agen","O.T.",43
"Agen","Orléans",42
"Agen","Oulx",61
"Agen","Paris",28
"Agen","Paris Saint-Germain des Prés O.S.B.",40
"Agen","Paris Saint-Victor O.S.A.",34
"Agen","Paris Sainte-Geneviève O.S.A.",37
"Agen","Passau",16
"Agen","Plasencia",46
"Agen","Poitiers",54
"Agen","Poitiers Saint-Croix O.S.B.",26
"Agen","Poitiers Sainte-Trinité O.S.B. f.",14
"Agen","Regensburg",35
"Agen","Reims",45
"Agen","Reims Saint-Denis O.S.A.",36
"Agen","Rennes [1401 to 1500]",42
"Agen","Rennes [1430]",44
"Agen","Rennes Notre-Dame-en-Saint-Melaine",45
"Agen","Roma",58
"Agen","Romans-sur-Isère Saint-Barnard",54
"Agen","Ronse Sint-Hermes",41
"Agen","Rouen",33
"Agen","Rouen Saint-Ouen O.S.B.",25
"Agen","Saint-Antoine des Champs O.Cist.",32
"Agen","Saint-Brieuc",47
"Agen","Saint-Denis O.S.B.",47
"Agen","Saint-Lô Sainte-Croix O.S.A.",33
"Agen","Saint-Magloire",39
"Agen","Saint-Malo",45
"Agen","Saint-Omer [1201 to 1300]",44
"Agen","Saint-Omer [1518]",43
"Agen","Saint-Omer Saint-Bertin O.S.B.",54
"Agen","Saint-Paul-Trois-Châteaux",47
"Agen","Saint-Pierre de La Couture O.S.B.",41
"Agen","Saint-Pol-de-Léon",28
"Agen","Saint-Quentin",44
"Agen","Saint-Quentin-en-l'Isle O.S.B.",40
"Agen","Saint-Riquier",44
"Agen","Saint-Savin-en-Lavedan O.S.B.",27
"Agen","Saint-Thierry Saint-Thierry O.S.B.",48
"Agen","Saintes",50
"Agen","Sarum",40
"Agen","Saumur Saint-Florent O.S.B.",49
"Agen","Séez",45
"Agen","Senlis",45
"Agen","Senones",50
"Agen","Sens",40
"Agen","Sens Saint-Pierre-le-Vif O.S.B.",40
"Agen","Sevilla",61
"Agen","Siegburg Michaelsberg O.S.B.",27
"Agen","Sion-en-Valais",57
"Agen","Sisteron",46
"Agen","Soissons",52
"Agen","Strasbourg",30
"Agen","Tarbes",43
"Agen","Tarentaise",30
"Agen","Thérouanne [1401 to 1500]",45
"Agen","Thérouanne [1488]",47
"Agen","Tiron Sainte-Trinité O.S.B.",45
"Agen","Toul",55
"Agen","Toulouse",38
"Agen","Tournai",41
"Agen","Tournus",31
"Agen","Tours [1401 to 1600]",45
"Agen","Tours [1501 to 1600]",48
"Agen","Tours Saint-Julien O.S.B.",50
"Agen","Tours Saint-Martin",35
"Agen","Tréguier",42
"Agen","Troarn Saint-Martin O.S.B.",23
"Agen","Troyes [1470 to 1507]",35
"Agen","Troyes [1536]",34
"Agen","Utrecht",35
"Agen","Uzès",37
"Agen","Valence",52
"Agen","Valence Saint-Ruf",58
"Agen","Valencia",34
"Agen","Valladolid",48
"Agen","Vendôme",43
"Agen","Verdun",54
"Agen","Vich",39
"Agen","Vienne",61
"Agen","Villeneuve-lès-Avignon Saint-André O.S.B.",44
"Agen","Villiers-aux-Nonnains Notre-Dame O.S.B.f",46
"Agen","Viviers",52
"Agen","Watten O.S.A.",35
"Agen","Westminster Saint Mary O.S.B.",30
"Agen","Winchester Saint Mary O.S.B.",19
"Agen","Worms",24
"Agen","Würtzburg",39
"Agen","York",32
"Aix-en-Provence","Amiens",28
"Aix-en-Provence","Angers",23
"Aix-en-Provence","Aniane O.S.B.",36
"Aix-en-Provence","Antwerpen",25
"Aix-en-Provence","Apt",75
"Aix-en-Provence","Arles",57
"Aix-en-Provence","Arras [1301 to 1400]",31
"Aix-en-Provence","Arras [1401 to 1500]",18
"Aix-en-Provence","Arras [1501 to 1600]",34
"Aix-en-Provence","Arras [1595]",22
"Aix-en-Provence","Arras Saint-Vaast O.S.B.",28
"Aix-en-Provence","Auch",52
"Aix-en-Provence","Autun",26
"Aix-en-Provence","Auxerre",27
"Aix-en-Provence","Avranches",25
"Aix-en-Provence","Baltimore The Walters Art Museum W.0166",25
"Aix-en-Provence","Baltimore The Walters Art Museum W.0169",25
"Aix-en-Provence","Bayeux",23
"Aix-en-Provence","Bazas",37
"Aix-en-Provence","Beaugency",22
"Aix-en-Provence","Beaulieu Notre Dame O.Cist",26
"Aix-en-Provence","Beaune Notre-Dame",39
"Aix-en-Provence","Beauvais",19
"Aix-en-Provence","Besançon",49
"Aix-en-Provence","Béziers",87
"Aix-en-Provence","Bordeaux",32
"Aix-en-Provence","Bourges",23
"Aix-en-Provence","Bourgueil Saint-Pierre O.S.B.",29
"Aix-en-Provence","Bremen",56
"Aix-en-Provence","Brugge",39
"Aix-en-Provence","Brugge Sint-Donaaskerk",18
"Aix-en-Provence","Bruxelles Sainte-Gudule O.S.A.",27
"Aix-en-Provence","Cambrai",20
"Aix-en-Provence","Canterbury Saint-Augustin",20
"Aix-en-Provence","Carcassonne",43
"Aix-en-Provence","Cavaillon",40
"Aix-en-Provence","Chaise-Dieu (La) O.S.B.",34
"Aix-en-Provence","Chalon-sur-Saône",18
"Aix-en-Provence","Châlons-en-Champagne",15
"Aix-en-Provence","Chartres",21
"Aix-en-Provence","Chartres Saint-Père-en-Vallée O.S.B. [1301 to 1500]",33
"Aix-en-Provence","Chartres Saint-Père-en-Vallée O.S.B. [1401 to 1500]",10
