"from","to"
"1913","V_Roma"
"1914","V_Mâcon"
"1914","D_Mâcon"
"1915","V_Roma"
"1916","V_Paris"
"1917","V_Roma"
"1918","V_Mâcon"
"1919","V_Roma"
"1920","V_Mâcon"
"1921","V_Roma"
"1922","V_Autun"
"1923","V_Roma"
"1924","V_Roma"
"1925","V_Roma"
"1932","V_Roma"
"1933","V_Avranches"
"1934","V_Troyes"
"1935","D_Avranches"
"1949","V_Rennes"
"1950","D_Rennes"
"1951","D_Besançon"
"1952","V_Rennes"
"1953","V_Besançon"
"1956","V_O.F.M."
"1957","V_Roma"
"1958","V_Paris"
"1959","V_Paris"
"1964","V_Reuil O.S.B."
"1965","D_Châlons-en-Champagne"
"1966","V_Rouen"
"1967","V_Quimper"
"1971","D_Metz"
"1984","V_Roma"
"1985","V_Metz"
"1986","V_Metz"
"1986","D_Metz"
"1991","V_Lyon"
"1992","V_Lyon"
"1993","V_Roma"
"1998","V_Paris"
"1999","V_Rouen"
"2000","V_Paris"
"2002","V_Aniane O.S.B."
"2003","V_Maguelonne"
"2006","V_Rouen"
"2009","V_Roma"
"2011","V_Paris"
"2013","V_Roma"
"2014","V_Roma"
"2015","V_Nantes"
"2020","V_Paris"
"2024","V_Siegburg, Michaelsberg O.S.B."
"2026","V_Toul"
"2027","V_Toul"
"2028","V_Roma"
"2028","D_Roma"
"2047","V_Paris"
"2050","V_Bourges"
"2051","V_Orléans"
"2053","V_Paris"
"2054","V_Paris"
"2055","V_Paris"
"2057","V_Roma"
"2059","D_Troyes"
"2060","V_Roma"
"2061","V_Rouen"
"2062","V_Paris"
"2069","V_Roma"
"2072","V_Bayeux"
"2073","V_Paris"
"2076","V_Clermont"
"2077","V_Amiens"
"2078","V_Toulouse, Saint-Sernin O.S.A."
"2079","V_Roma"
"2080","V_Roma"
"2080","D_Roma"
"2085","V_Besançon"
"2085","D_Besançon"
"2086","V_Tournai"
"2089","V_Chartres"
"2090","V_Orléans"
"2092","V_Rennes"
"2093","V_Thérouanne"
"2096","V_Roma"
"2145","V_Roma"
"2147","V_Roma"
"2147","D_Roma"
"2148","V_Rouen"
"2149","V_Paris"
"2149","D_Paris"
"2150","V_Rouen"
"2151","V_Paris"
"2152","V_Paris"
"2153","V_Roma"
"2155","V_Roma"
"2155","D_Roma"
"2157","V_Augsburg, Sankt Ulrich und Afra O.S.B."
"2158","V_Roma"
"2160","V_Roma"
"2166","V_Paris"
