msItem H-ID,rec_Title,Parent entity (Manuscript) H-ID,Parent entity RecordTitle,Parent entity (Printed text) H-ID,Parent entity RecordTitle,Work H-ID,Work RecordTitle,use (Organisation) H-ID,use RecordTitle
100029,"MsItem of Österreichische Nationalbibliothek, Ser. n. 13242 : Hours of the Virgin",118,"Wien, Österreichische Nationalbibliothek, Ser. n. 13242 
 
 = Medium: 100081953",,,75966,Hours of the Virgin | L1 | Section,10209,Reims (Organisation)
200019,"MsItem of Österreichische Nationalbibliothek, Ser. n. 13242 : Office of the dead",118,"Wien, Österreichische Nationalbibliothek, Ser. n. 13242 
 
 = Medium: 100081953",,,75965,Office of the dead | L1 | Section,10209,Reims (Organisation)
300017,"MsItem of Österreichische Nationalbibliothek, Ser. n. 13242 : Calendar",118,"Wien, Österreichische Nationalbibliothek, Ser. n. 13242 
 
 = Medium: 100081953",,,75963,Calendar | L1 | Section,10209,Reims (Organisation)
100030,"MsItem of National Library of Australia, 1097/5 : Hours of the Virgin",131,"Canberra, National Library of Australia, 1097/5 
 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert",,,75966,Hours of the Virgin | L1 | Section,10209,Reims (Organisation)
100031,"MsItem of National Library of Australia, 1097/9 : Hours of the Virgin",132,"Canberra, National Library of Australia, 1097/9 
 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert",,,75966,Hours of the Virgin | L1 | Section,10245,Sarum (Organisation)
100032,"MsItem of State Library of Victoria, 096/R66Hb : Hours of the Virgin",138,"Melbourne, State Library of Victoria, 096/R66Hb 
 - DEU, Köln, Venator + Haustein Auktion",,,75966,Hours of the Virgin | L1 | Section,10295,York (Organisation)
100033,"MsItem of Bibliothèque du château du Prince de Ligne, s.n. : Hours of the Virgin | L1 | Section",154,"Beloeil, Bibliothèque du château du Prince de Ligne, s.n. 
 - GBR, London, Christie's",,,75966,Hours of the Virgin | L1 | Section,10250,Unknown (Organisation)
200020,"MsItem of Bibliothèque du château du Prince de Ligne, s.n. : Office of the dead | L1 | Section",154,"Beloeil, Bibliothèque du château du Prince de Ligne, s.n. 
 - GBR, London, Christie's",,,75965,Office of the dead | L1 | Section,10250,Unknown (Organisation)
300018,"MsItem of Bibliothèque du château du Prince de Ligne, s.n. : Calendar | L1 | Section",154,"Beloeil, Bibliothèque du château du Prince de Ligne, s.n. 
 - GBR, London, Christie's",,,75963,Calendar | L1 | Section,10257|10233|10233,Thérouanne (Organisation)|Saint-Omer (Organisation)|Saint-Omer (Organisation)
100034,"MsItem of Bibliothèque du château du Prince de Ligne, s.n. : Hours of the Virgin | L1 | Section",155,"Beloeil, Bibliothèque du château du Prince de Ligne, s.n. 
 - GBR, London, Christie's",,,75966,Hours of the Virgin | L1 | Section,10004,Amiens (Organisation)
