"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","rowname.unlist","n"
"616",79,83,58,NA,76,47,18,NA,1,10,38,NA,"Teutonic Order_FULD122A _TREV359",2
"617",79,83,76,NA,27,1,47,NA,58,18,38,NA,"Seebach_CON1A",1
"618",79,83,76,NA,44,47,18,NA,10,58,38,NA,"Lambach (OSB)_KREMS239",1
"619",79,83,76,NA,85,1,18,NA,10,44,38,NA,"Therouanne_BL36672D",1
"620",82,11,11,NA,94,36,67,NA,84,95,3,NA,"Otto of Riedenburg's Pontifici_BN1231S2",1
"621",82,72,1,NA,14,36,56,NA,32,68,79,40,"Vienne_GEN781",1
"622",82,72,1,NA,14,36,56,NA,32,68,79,NA,"Vienne_S.1933-1",1
"623",82,83,58,NA,1,44,47,NA,79,18,38,NA,"Lund_GEN1293D",1
"624",82,93,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"_BL863",1
"625",83,14,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"_BN1394C",1
"626",83,25,13,58,93,52,18,65,29,44,47,38,"St. Vedast_CAMBR75D",1
"627",83,25,13,NA,29,93,58,NA,68,82,38,NA,"Carthusian (St. Omer)_BN3104",1
"628",83,25,13,NA,58,29,93,NA,72,82,38,NA,"Notre-Dame-du-Bon-Conseil_BEAUNE39 Watten_UTR91 St. Donatian of Bruges_BL1018A",3
"629",83,25,13,NA,58,29,93,NA,82,18,38,NA,"Tournai_CAMBR104D",1
"630",83,25,13,NA,58,29,93,NA,82,40,38,NA,"Mont-Saint-Eloi_BRU460",1
"631",83,25,13,NA,58,29,93,NA,82,72,38,NA,"Lille_DOUAI173 Margr. Skulesdatter_BERL78 _CPHT542 Phalempin_BN13312 Henin-Lietard_BN1326",5
"632",83,25,13,NA,58,93,29,NA,40,82,38,NA,"Nidaros_AM679 Skalholt_AM241",2
"633",83,25,13,NA,58,93,29,NA,72,82,38,NA,"Andres_ST.OM363 St. Omer_DARM4161",2
"634",83,25,13,NA,93,18,65,NA,29,44,38,NA,"St. Vedast_ARRAS230V",1
"635",83,25,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"_FRFT32C",1
