"from","to","Weight"
"Nidaros_CPHN133","St. Maur Verdun_EPIN235","9"
"Carmelite_BLU-C","Hereford_HEREFDSN","9"
"Carmelite_BLU-C","Lincoln_BL38116","9"
"Carmelite_BLU-C","Metz_ARS570","9"
"Carmelite_BLU-C","Sarum_BL305","9"
"Carmelite_BLU-C","Templars_BN10478D","9"
"Carmelite_BLU-C","Rennes_S.1893","9"
"Carmelite_BLU-C","Oxford_VAT4757","9"
"Carmelite_BLU-C","Rouen_BN4600","9"
"Carmelite_BLU-C","_HAAG68","9"
"Carmelite_BLU-C","St. Arnulf_METZ333","9"
"Carmelite_BLU-C","Lisieux_CAEN17","9"
"Carmelite_BLU-C","Coutances_S.1953-2","9"
"Carmelite_BLU-C","The Hague_HAAG73B","9"
"Carmelite_BLU-C","Hospitallers_BN1400","9"
"Carmelite_BLU-C","Hours of Marie de Bohun_CPHT547","9"
"Carmelite_BLU-C","Montieramey_BN1063","9"
"Carmelite_BLU-C","Seez_BN1272","9"
"Carmelite_BLU-C","St. Lo-de-Rouen_GEN1265","9"
"Carmelite_BLU-C","St. Jacut-de-la-Mer_BN3081","9"
"Carmelite_BLU-C","St. Sauveur Toul_BN17998","9"
"Carmelite_BLU-C","St. Lo-de-Coutances_GEN2722","9"
"Carmelite_BLU-C","Dol_OXF26","9"
"Carmelite_BLU-C","Aversa_VAT12","9"
"Carmelite_BLU-C","Vannes_GEN225","9"
"Carmelite_BLU-C","Crowland_BL230","9"
"Carmelite_BLU-C","Sarum_EDINB13","9"
"Carmelite_BLU-C","Coutances_BN786D","9"
"Carmelite_BLU-C","Lisieux_GEN113","9"
"Carmelite_BLU-C","Rouen_ROUEN326","9"
"Carmelite_BLU-C","_S.1935-5","9"
"Carmelite_BLU-C","Brigittine (Syon)_OXF4","9"
"Carmelite_BLU-C","Aberdeen_ABERDSN","9"
"Carmelite_BLU-C","Rouen_BN10549","9"
"Carmelite_BLU-C","St. Maur Verdun_EPIN235","9"
"Hereford_HEREFDSN","Lincoln_BL38116","9"
"Hereford_HEREFDSN","Metz_ARS570","9"
"Hereford_HEREFDSN","Sarum_BL305","9"
"Hereford_HEREFDSN","Templars_BN10478D","9"
"Hereford_HEREFDSN","Rennes_S.1893","9"
"Hereford_HEREFDSN","Oxford_VAT4757","9"
"Hereford_HEREFDSN","Rouen_BN4600","9"
