"from","to","Weight"
"Cambrai_CAMBR1343","Cambrai_FRFT107","9"
"Cambrai_CAMBR1343","St. Gery_CAMBR105","9"
"Cambrai_CAMBR1343","St. Gery_CAMBR203","9"
"Cambrai_CAMBR1343","Cambrai_BRU2348","9"
"Cambrai_CAMBR1343","Cambrai_BN27727","9"
"Cambrai_CAMBR1343","Cambrai_GEN361","9"
"Cambrai_CAMBR1343","Cambrai_CAMBR6","9"
"Cambrai_CAMBR1343","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR1343","Cambrai_BN1720","9"
"Cambrai_FRFT107","St. Gery_CAMBR105","9"
"Cambrai_FRFT107","St. Gery_CAMBR203","9"
"Cambrai_FRFT107","Cambrai_BRU2348","9"
"Cambrai_FRFT107","Cambrai_BN27727","9"
"Cambrai_FRFT107","Cambrai_GEN361","9"
"Cambrai_FRFT107","Cambrai_CAMBR6","9"
"Cambrai_FRFT107","Cambrai_CAMBR1014","9"
"Cambrai_FRFT107","Cambrai_BN1720","9"
"St. Gery_CAMBR105","St. Gery_CAMBR203","9"
"St. Gery_CAMBR105","Cambrai_BRU2348","9"
"St. Gery_CAMBR105","Cambrai_BN27727","9"
"St. Gery_CAMBR105","Cambrai_GEN361","9"
"St. Gery_CAMBR105","Cambrai_CAMBR6","9"
"St. Gery_CAMBR105","Cambrai_CAMBR1014","9"
"St. Gery_CAMBR105","Cambrai_BN1720","9"
"St. Gery_CAMBR203","Cambrai_BRU2348","9"
"St. Gery_CAMBR203","Cambrai_BN27727","9"
"St. Gery_CAMBR203","Cambrai_GEN361","9"
"St. Gery_CAMBR203","Cambrai_CAMBR6","9"
"St. Gery_CAMBR203","Cambrai_CAMBR1014","9"
"St. Gery_CAMBR203","Cambrai_BN1720","9"
"Cambrai_BRU2348","Cambrai_BN27727","9"
"Cambrai_BRU2348","Cambrai_GEN361","9"
"Cambrai_BRU2348","Cambrai_CAMBR6","9"
"Cambrai_BRU2348","Cambrai_CAMBR1014","9"
"Cambrai_BRU2348","Cambrai_BN1720","9"
"Cambrai_BN27727","Cambrai_GEN361","9"
"Cambrai_BN27727","Cambrai_CAMBR6","9"
"Cambrai_BN27727","Cambrai_CAMBR1014","9"
"Cambrai_BN27727","Cambrai_BN1720","9"
"Cambrai_GEN361","Cambrai_CAMBR6","9"
"Cambrai_GEN361","Cambrai_CAMBR1014","9"
"Cambrai_GEN361","Cambrai_BN1720","9"
"Cambrai_CAMBR6","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR6","Cambrai_BN1720","9"
"Cambrai_CAMBR1014","Cambrai_BN1720","9"
"Lyons_LYO70","Lyons_LYO1410","9"
"Lyons_LYO70","Lyons_MAZ817","9"
"Lyons_LYO70","Lyons_EBAI772","9"
"Lyons_LYO70","Lyons_ARS2964","9"
"Lyons_LYO70","Lyons_S.1937-1","9"
"Lyons_LYO70","Die_AVIGN127","9"
"Lyons_LYO1410","Lyons_MAZ817","9"
"Lyons_LYO1410","Lyons_EBAI772","9"
"Lyons_LYO1410","Lyons_ARS2964","9"
"Lyons_LYO1410","Lyons_S.1937-1","9"
"Lyons_LYO1410","Die_AVIGN127","9"
"Lyons_MAZ817","Lyons_EBAI772","9"
"Lyons_MAZ817","Lyons_ARS2964","9"
"Lyons_MAZ817","Lyons_S.1937-1","9"
"Lyons_MAZ817","Die_AVIGN127","9"
"Lyons_EBAI772","Lyons_ARS2964","9"
"Lyons_EBAI772","Lyons_S.1937-1","9"
"Lyons_EBAI772","Die_AVIGN127","9"
"Lyons_ARS2964","Lyons_S.1937-1","9"
"Lyons_ARS2964","Die_AVIGN127","9"
"Lyons_S.1937-1","Die_AVIGN127","9"
"Carthusian_CHARL182","Carthusian_TREV434","9"
"Carthusian_CHARL182","Carthusian_DIJON617","9"
"Carthusian_CHARL182","Carthusian_MARS119","9"
"Carthusian_CHARL182","Carthusian_METZ474","9"
"Carthusian_CHARL182","Carthusian_METZ589","9"
"Carthusian_CHARL182","Carthusian_ST.OM427","9"
"Carthusian_CHARL182","Carthusian_VAT10296","9"
