"Source","Target","Weight"
"Lyre_EVREUX121","Bologna_OXF221","7"
"Lyre_EVREUX121","Sts. Ulrich and Afra_EBAMS17","7"
"Lyre_EVREUX121","Pontetetto_LUCCA603","7"
"Lyre_EVREUX121","Poor Clares_ASSDSN","7"
"Lyre_EVREUX121","Aquileia_UDINE9","7"
"Lyre_EVREUX121","Olivetans_MIL18","7"
"Lyre_EVREUX121","Roman_BN4162","7"
"Lyre_EVREUX121","_ESC29","7"
"Lyre_EVREUX121","Austin Friars_VAT698","7"
"Lyre_EVREUX121","Badia Florence_OXF392","7"
"Lyre_EVREUX121","Ascoli Piceno_VAT6255","7"
"Lyre_EVREUX121","Chezal-Benoit_CL-FD87","7"
"Lyre_EVREUX121","Franciscan_CORT6","7"
"Lyre_EVREUX121","St. Peter's Perugia_FLO461","7"
"Lyre_EVREUX121","Taranto_VAT107","7"
"Lyre_EVREUX121","Bergamo_VAT7724","7"
"Lyre_EVREUX121","Montecassino_BN1687","7"
"Lyre_EVREUX121","Padua_VAT1009","7"
"Lyre_EVREUX121","Freising_BL18307","7"
"Lyre_EVREUX121","Melk_CPHV896","7"
"Lyre_EVREUX121","Beaumont-les-Tours_B1242","7"
"Lyre_EVREUX121","Neresheim_OXF304","7"
"Lyre_EVREUX121","Senlis_ARS2780","7"
"Lyre_EVREUX121","St. Fredian's_TORT10","7"
"Lyre_EVREUX121","Limoges_VAT184","7"
"Lyre_EVREUX121","Bordeaux_BORD920","7"
"Lyre_EVREUX121","_S.1939-1","7"
"Lyre_EVREUX121","_RIOM21","7"
"Lyre_EVREUX121","_VAT33B","7"
"Lyre_EVREUX121","St. Simeon Trier_TREV427B","8"
"Lyre_EVREUX121","St. Denis Rheims_BN915","8"
"Lyre_EVREUX121","Rheims_BN18021","8"
"Lyre_EVREUX121","La Couture_GEN1372","8"
"Lyre_EVREUX121","Notre-Dame-des-Pres-les-Troyes_B1234","8"
"Lyre_EVREUX121","Braga_BRAGASEM","8"
"Lyre_EVREUX121","Rheims_TROY1951","7"
"Lyre_EVREUX121","Braga_BRAGA1933","7"
"Lyre_EVREUX121","Croix-St-Leufroy_BOUV(2)","7"
"Lyre_EVREUX121","Braga_BRAGAMUS","7"
"Lyre_EVREUX121","_BN4509","7"
"Lyre_EVREUX121","Westminster_OXF10","7"
"Lyre_EVREUX121","Tulle_BN1257","8"
"Lyre_EVREUX121","St. Frideswide Oxford_BL157","8"
"Lyre_EVREUX121","St. Maur-des-Fosses_BN12037","8"
"Lyre_EVREUX121","Marchiennes_DOUAI138","8"
"Lyre_EVREUX121","Faremoutiers_MAZ349","8"
"Lyre_EVREUX121","Sepulchre de Cambrai_CAMBR102","8"
"Lyre_EVREUX121","_CPHN29","8"
"Lyre_EVREUX121","Beaulieu-les-Loches_LOCH7","8"
"Lyre_EVREUX121","St. Serge_S.1938-2","8"
"Lyre_EVREUX121","St. Laumer_VAT60","8"
"Lyre_EVREUX121","St. Melaine_BN27701","8"
"Lyre_EVREUX121","Fecamp_ROUEN253","8"
"Lyre_EVREUX121","Marmoutier_GEN1370","8"
"Lyre_EVREUX121","St. Martial_BN783","8"
"Lyre_EVREUX121","Vezelay_LYO555","8"
"Lyre_EVREUX121","Chester_OXF169","7"
"Lyre_EVREUX121","Bec_LAON255","7"
"Lyre_EVREUX121","Hyde Abbey_BL960","7"
"Lyre_EVREUX121","_EVREUX116","7"
"Lyre_EVREUX121","St. Albans_BL6","7"
"Lyre_EVREUX121","Lyre_BL16975","7"
"Lyre_EVREUX121","St. Martial_BN1088","7"
"Lyre_EVREUX121","Tynemouth_OXF18","7"
"Lyre_EVREUX121","St. Ouen_BRU3827","7"
"Lyre_EVREUX121","Bonne Nouvelle_ROUEN254","7"
"Lyre_EVREUX121","Moissac_OXF45","7"
"Lyre_EVREUX121","Winchcombe_VAL196","7"
"Lyre_EVREUX121","Jumieges_ROUEN211","7"
"Lyre_EVREUX121","Mont-Saint-Michel_AVRAN39","7"
"Lyre_EVREUX121","St. Benigne-de-Dijon_DIJON113","7"
"Lyre_EVREUX121","St. Tierry_REIMS314","7"
"Lyre_EVREUX121","St. Amand_BN13260","7"
"Lyre_EVREUX121","St. Vedast_ARRAS729","7"
"Lyre_EVREUX121","Bourgueil_BN1043","7"
"Lyre_EVREUX121","Troarn_BN13242B","7"
"Lyre_EVREUX121","_ESC36","7"
"Lyre_EVREUX121","Sepulchre de Cambrai_CAMBR111","7"
"Lyre_EVREUX121","St. Bertin_ST.OM422","7"
"Lyre_EVREUX121","St. Ghislain_BRU4956","7"
"Lyre_EVREUX121","St. Victor Marseilles_AIX14","7"
"Lyre_EVREUX121","Montmajour_AIX101D","7"
"Lyre_EVREUX121","San Benito el Real_MIL882","7"
"Lyre_EVREUX121","Monastery of Corbie_BN11949","7"
