"","Work.RecordTitle","n"
"110","Caeli enarrant gloriam Dei,et opera manuum ejus annuntiat firmamentum. Dies diei eructat verbum,et n | HORAE | Psalm 18 | Psalm | h190",178
"111","Caeli regina laetare alleluia quia quem meruisti portare alleluia resurrexit sicut dixit alleluia or | Cantus ID 004597.1 | | Antiphon | h191",1
"112","Candida virginitas paradisi cara colonis hortus conclusus florenti cespite vernans cui merito mundus | Cantus ID 006262 | | Respond | h192",4
"113","Cantate Domino canticum novum ;cantate Domino omnis terra. Cantate Domino, et benedicite nomini ejus | HORAE | Psalm 95 | Psalm | h193",13
"114","Cantate Domino canticum novum ;laus ejus in ecclesia sanctorum. Laetetur Israël in eo qui fecit eum, | HORAE | Psalm 149 | Psalm | h194",75
"115","Cantate Domino canticum novum,quia mirabilia fecit.Salvavit sibi dextera ejus,et brachium sanctum ej | HORAE | Psalm 97 | Psalm | h195",14
"116","Cecos cordium oculos terge atque semitas iusticie nobis ostende orando a nobis uicia subtrahe ante s | HORAE | Anselmus, Cantuariensis archiepiscopus, Oratio LV (PL 158, 961 c-d) | Lesson | h198",6
"117","Christe fili dei vivi miserere nobis | Cantus ID 006276 | | Respond | h201",9
"118","Christe sanctorum decus angelorum gentis humanae sator et redemptor caelitum nobis tribuas beatas sc | Cantus ID a01594 | | Hymn | h204",1
"119","Christi mater ave | HORAE | | Respond | h206",2
"120","Christi virgo dilectissima | HORAE | | Versicle | h1310",7
"121","Christi virgo dilectissima virtutum operatrix opem fer miseris subveni domina clamantibus ad te jugi | Cantus ID 006278 | | Respond | h207",8
"122","Clamantium ad te, quaesumus, domine, preces dignanter exaudi et, sicut Ninivitis, in afflictione pos | Corpus Orationum 628 | | Oration | h1320",4
"123","Clamavi in toto corde meo : exaudi me, Domine ; justificationes tuas requiram | HORAE | Psalm 118, 145 | Psalm | h211",10
"124","Completi sunt dies Mariae ut pareret filium suum primogenitum | Cantus ID 001862 | Luke 2:6-7 | Antiphon | h216",26
"125","Concede misericors Deus fragilitati nostrae praesidium: ut qui sanctae Dei genitricis memoriam agi m | Conc. 430 | | Oration | h217",19
"126","Concede nos famulos tuos, quaesumus, domine deus, perpetua mentis et corporis sanitate gaudere et gl | Corpus Orationum 706 ; BU FinalPrayer 80 | | Oration | h218",44
"127","Concede nos famulos tuos, quaesumus, domine deus, perpetua mentis et corporis sanitate gaudere et gl | Corpus Orationum 706 ; BU FinalPrayer 80 | | Oration | h218|Deus, qui hodierna die corda fidelium sancti spiritus illustratione docuisti, da nobis in eodem spir | Corpus Orationum 1666 | | Oration | h324",1
"128","Concede quesumus omnipotens et misericors Deus fragilitati nostre presidium, ut qui, sancte Dei geni | HORAE | | Oration | h220",9
"129","Concede, misericors deus, fragilitati nostrae praesidium, ut, qui sanctae dei genitricis requiem cel | Corpus Orationum 663 | | Oration | h221",1
"130","Concede, quaesumus, omnipotens deus, ad beatae Mariae semper virginis gaudia aeterna pertingere, de | Corpus Orationum 728b | | Oration | h1321",3
"131","Concede, quaesumus, omnipotens et misericors deus, ut sancta virgo virginum Maria omnes que ordines | Corpus orationum 784 | | Oration | h223",1
"132","Confitebor tibi, Domine, in toto corde meo,quoniam audisti verba oris mei.In conspectu angelorum psa | HORAE | Psalm 137 | Psalm | h226",3
"133","Confitemini Domino, quoniam bonus,quoniam in saeculum misericordia ejus. Dicat nunc Israël : Quoniam | HORAE | Psalm 117 | Psalm | h227",62
"134","Cujus cunctorum laus promitur ore piorum | Cantus ID 602209a | | Verse | h1306",1
"135","Cum autem venit plenitudo temporis, misit Deus Filium suum factum ex muliere, factum sub lege | HORAE | Galatians 4:4 | Short lesson | h243",1
"136","Cum invocarem exaudivit me Deus justitiae meae,in tribulatione dilatasti mihi.Miserere mei, et exaud | HORAE | Psalm 4 | Psalm | h244",19
"137","Cum jocunditate exibitis et cum gaudio deducemini nam et montes et colles exilient expectantes vos c | Cantus ID a01516 | Isaiah 55:12 | Respond | h245",2
"138","Cum jucunditate nativitatem beatae Mariae celebremus ut ipsa pro nobis intercedat ad dominum Jesum C | Cantus ID 002016 | | Antiphon | h247",90
"139","Da mihi virtutem contra hostes tuos | Cantus ID 006447za ; Cantus ID 600574a | | Verse | h252",22
"140","Da mihi virtutum contra hostes tuos | Cantus ID 008015 | | Response | h1328",2
"141","Da, quaesumus, domine, fidelibus populis sanctorum tuorum semper veneratione laetari et eorum perpet | Corpus Orationum 976 | | Oration | h1322",1
"142","Da, quaesumus, ecclesiae tuae, misericors deus, ut, sancto spiritu congregata, hostili nullatenus in | Corpus Orationum 1001 | | Oration | h1323",1
"143","De casta nobis oriens matre, dies indesinens, iugi nos fove lumine culpaeque noctem remove. Mater di | AH 6762 | | Hymn | h259",1
"144","De fructu ventris tui ponam super sedem meam | Cantus ID 002106 | Psalm 131:11 | Antiphon | h262",1
"145","De profundis clamavi ad te, Domine ; Domine, exaudi vocem meam.Fiant aures tuae intendentes in vocem | HORAE | Psalm 129 | Psalm | h264",65
"146","Defecit in salutare tuum anima mea, et in verbum tuum supersperavi | HORAE | Psalm 118, 81 | Psalm | h268",13
"147","Dei genetrix intercede pro nobis | Cantus ID 008169 ; BU VersResp 86 | | Response | h269",9
"148","Dei genetrix virgo semper Maria intercede pro nobis deprecamur | Cantus ID 002142 | | Antiphon | h270",3
"149","Dei genitrix intercede pro nobis. | Cantus ID 007400a | | Verse | h271",59
"150","Dele virgo prudentissima | HORAE | | Lesson | h272",1
"151","Deus autem patiencie | HORAE | Romans 15:5 | Short lesson | h278",2
"152","Deus in medio ejus non commovebitur | Cantus ID 006042a | Psalm 45:6 | Verse | h285",12
"153","Deus misereatur nostri, et benedicat nobis ;illuminet vultum suum super nos, et misereatur nostri :  | HORAE | Psalm 66 | Psalm | h289",108
"154","Deus noster refugium et virtus ;adjutor in tribulationibus quae invenerunt nos nimis. Propterea non | HORAE | Psalm 45 | Psalm | h290",14
"155","Deus, Deus meus, ad te de luce vigilo.Sitivit in te anima mea ; quam multipliciter tibi caro mea ! I | HORAE | Psalm 62 | Psalm | h307",137
"156","Deus, in nomine tuo salvum me fac,et in virtute tua judica me. Deus, exaudi orationem meam ;auribus | HORAE | Psalm 53 | Psalm | h309",106
"157","Deus, qui apostolis tuis sanctum dedisti spiritum, concede plebi tuae petitionis effectum, ut, quibu | Corpus Orationum 1359 | | Oration | h311",6
"158","Deus, qui de beatae Mariae virginis utero verbum tuum, angelo nuntiante, carnem suscipere voluisti, | Corpus Orationum 1518 | | Oration | h322",19
