"","Work.RecordTitle","n"
"445","O gloriosa Dei genitrix mater misericordiae, virgo semper Maria, quae Dominum omnium meruisti portar | HORAE | Anselmus, Cantuariensis archiepiscopus, Oratio XXXVI (PL 158, 928 b) | Lesson | h814",4
"446","O gloriosa dei genitrix virgo | Cantus ID 004029 | | Antiphon | h815",93
"447","O gloriosa domina excelsa super sidera quae nec primam similem visa est nec habere sequentem sola si | Cantus ID 007270 | | Respond | h817",6
"448","O gloriosa domina excelsa super sidera qui te creavit provide lacrasti sacro ubere | Cantus ID 008375e | | Hymn | h818",189
"449","O gloriosa femina non solum benedicta inter mulieres sed inter mulieres benedictas maiori benedictio | Cantus ID 203447 | | Antiphon | h820",1
"450","O Maria clausa | HORAE | | Antiphon | h822",1
"451","O Maria omni laude dignissima | HORAE | Hildefonsus Toletanus incertus, Sermo IX (PL 96, 271 d) | Lesson | h823",1
"452","O mater virgo virginum | HORAE | | Lesson | h825",1
"453","O pia Dei genitrix | HORAE | | Lesson | h827",1
"454","O pulchra inter mulieres | Cantus ID 601624 | | Respond | h828",1
"455","O pulchra inter mulieres egredere et abit post vestigia gregum et pasche haedos tuos juxta tabernacu | Cantus ID a02323 | | Antiphon | h829",2
"456","O quam pulchra es casta generatio cum claritate | Cantus ID 004069 | Wisdom of Solomon 4:1 | Antiphon | h833",2
"457","O quam pulchra inter mulieres | HORAE | | Antiphon | h834",1
"458","O regina mundi scala coeli, thronus Dei, ianua paradisi, audi preces pauperum, ne despicias gemitus | HORAE | Anselmus, Cantuariensis archiepiscopus, Oratio LV (PL 158, 962 b) | Lesson | h835",1
"459","O relinatorium aureum | HORAE | | Lesson | h836",1
"460","O sacratissima uirgo Maria, nos qui hoc credimus quod uirgo et mater Dei sis, credendo senciamus quo | HORAE | Anselmus, Cantuariensis archiepiscopus, Oratio LV (PL 158, 961 d) | Lesson | h838",5
"461","O sanctissima Dei genitrix | HORAE | | Lesson | h841",1
"462","O singularis domina, sola virgo puerpera, praeclara vitae ianua, qua caeli patent atria. Tu nos culp | AH 19584 | | Hymn | h842",1
"463","O stella maris inclita | HORAE | AH 1515 | Lesson | h843",1
"464","O virgo virginum | HORAE | | Antiphon | h845",1
"465","O, quam glorifica luce coruscas, Stirpis Davidicae regia proles, Sublimis residens, virgo Maria, Sup | Cantus ID 008362 ; AH 19313 | | Hymn | h831",24
"466","Obsecremus ergo te | HORAE | | Lesson | h847",1
"467","Oculi tui sancta dei genetrix sicut piscinae in Hesebon quae sunt in porta filiae multitudinis allel | HORAE | Song of songs 7:4 | Antiphon | h849",1
"468","Odor tuus sancta dei genetrix sicut odor balsami quasi lilium sic efflorebit sancta dei genetrix vir | Cantus ID 004112 | Ecclesiasticus 24:20 - Isaiah 35:1 | Antiphon | h850",5
"469","Odor tuus sancta dei genitrix | HORAE | Ecclesiasticus 24:20-21 | Short lesson | h851",1
"470","Omnipotens sempiterne deus nos famulos tuos | HORAE | | Oration | h858",2
"471","Omnipotens sempiterne deus nos famulos tuos dextera ... gaudere prosperitate et futura | BU FinalPrayer 104 | | Prayer | h2072",2
"472","Omnipotens sempiterne Deus qui gloriose virginis et matris Marie corpus et animam ut dignum filii tu | HORAE | | Oration | h862",2
"473","Omnipotens sempiterne deus, qui in sanctorum tuorum cordibus flammam tuae dilectionis accendis, da m | Corpus Orationum 3971 | | Oration | h1337",3
"474","Omnium sanctorum chorus laudate dominum in excelsis | Cantus ID 203688 | | Antiphon | h874",1
"475","Omnium, quaesumus, domine, sanctorum tuorum supplicatione placatus, et veniam nobis tribue et remedi | Corpus Orationum 4102 | | Oration | h1341",2
"476","Ora pro nobis beate N. ut digni efficiamur promissione Christi | Cantus ID 007326 | | Respond | h877",28
"477","Ora pro nobis dei genetrix | Cantus ID 60344a | | Verse | h1353",6
"478","Ora pro nobis sancta dei | Cantus ID 601702 | | Respond | h12348",1
"479","Ora pro nobis sancta Dei genitrix | Cantus ID 800319 ; BU VersResp 82 | | Versicle | h880",10
"480","Ora pro populo interveni pro clero intercede pro devoto femineo sexu sentiant omnes tuum levamen qui | Cantus ID 006725a | | Verse | h881",28
"481","Oraculum aeternae vitae claritas caelorum | Cantus ID 006041a | | Verse | h884",1
"482","Oret voce pia | HORAE | | Verse | h893",1
"483","Ornatam in monilibus | HORAE | Isaiah 61:10 | Short lesson | h895",1
"484","Ostende mihi faciem tuam | HORAE | Song of songs 2:14 | Short lesson | h896",1
"485","Paradisi porta per Evam cunctis clausa est et per beatam Mariam virginem iterum patefacta est | HORAE | Cantus ID 007347 | Short lesson | h898",64
"486","Paradisi porta per Evam cunctis clausa est et per Mariam virginem iterum patefacta est | Cantus ID 007347 | | Respond | h899",4
"487","Paradisi portae per te nobis apertae sunt quas hodie gloriosa cum angelis triumphas | Cantus ID 004215 | | Antiphon | h900",11
"488","Per te dei genitrix est nobis vita perdita data que de celo suscepisti prolem et mondo genuisti salu | HORAE | Gradual (AM I : ThK 93, p. 380-381) | Short lesson | h922",44
"489","Placa tuis precibus | HORAE | | Lesson | h930",1
"490","Porrige nobis, deus, dexteram tuam et per intercessionem beatae et gloriosae semper que virginis dei | Corpus Orationum 4303a | | Oration | h932",10
"491","Portio mea, Domine, dixi custodire legem tuam | HORAE | Psalm 118, 57 | Psalm | h933",3
"492","Post partum virgo | HORAE | | Response | h1333",1
"493","Post partum virgo inviolata | Cantus ID 006370ze | | Verse | h934",24
"494","Post partum virgo inviolata permansisti | Cantus ID 008169 ; BU VersResp 85 | | Versicle | h935",24
"495","Post partum virgo inviolata permansisti dei genetrix intercede pro nobis | Cantus ID 004332 | | Antiphon | h936",93
"496","Post partum virgo inviolata permansisti. | Cantus ID 007400 | | Respond | h938",77
"497","Post partum virgo letaris | HORAE | | Lesson | h939",5
"498","Praesepe poni pertulit | HORAE | | Hymn | h940",1
"499","Praesta quaesumus omnipotens Deus ut familia tua per viam... Secura perveniat | Conc. 2757 | | Oration | h941",1
"500","Principes persecuti sunt me gratis, et a verbis tuis formidavit cor meum | HORAE | Psalm 118, 161 | Psalm | h963",10
"501","Propter veritatem et mansuetudinem et justitiam et deducet te mirabiliter dextera tua | Cantus ID 007441 | Psalm 44:5 | Respond | h966",2
"502","Propterea benedixit te Deus in aeternum | Cantus ID 008014 ; BU VersResp 252 | | Response | h968",1
"503","Propterea benedixit te Deus in aeternum. | Cantus ID 006445a | | Verse | h967",13
"504","Protector noster in te sperantium deus sine quo ... ut non amittamus eterna | BU FinalPrayer 100 | | Prayer | h2269",2
"505","Protege domine famulos tuos subsidiis pacis ... a cunctis hostibus redde securos | BU FinalPrayer 140 | | Prayer | h2270",2
"506","Protege Domine populum tuum subsidiis | HORAE | | Oration | h970",1
"507","Protege quesumus domine famulos tuos | HORAE | | Oration | h971",2
"508","Protege, domine, famulos tuos subsidiis pacis et beatae Mariae patrociniis confidentes, a cunctis ho | Corpus Orationum 4756b | | Oration | h972",14
"509","Protege, domine, famulos tuos subsidiis pacis et beatae Mariae patrociniis confidentes, a cunctis ho | Corpus Orationum 4756b | | Oration | h972|Adsit nobis, domine, quaesumus, virtus spiritus sancti, quae et corda nostra clementer expurget et a | Corpus Orationum 218 | | Oration | h48",1
"510","Pulchra es amica mea | HORAE | Song of songs 6:3 | Lesson | h1301",1
"511","Pulchra es amica mea suavis | Cantus ID 204005 | Song of songs 4:1 | Antiphon | h976",1
"512","Pulchra es et decora filia Hierusalem, terribilis ut castrorum acies ordinata. | Cantus ID 004418 | Song of songs 6:3 | Antiphon | h977",47
"513","Pulchre sunt gene tue | HORAE | Song of songs 1:9 | Short lesson | h978",1
"514","Quae est ista quae ascendit per desertum sicut virgula fumi ex aromatibus myrrhae et thuris et unive | Cantus ID 601925 | Song of songs 3:6 | Respond | h979",1
"515","Quae est ista quae ascendit sicut aurora consurgens pulchra ut luna electa ut sol terribilis ut cast | Cantus ID 004425 | Song of songs 6:9 | Antiphon | h980",6
"516","Quae est ista quae processit sicut sol et formosa tamquam Jerusalem viderunt eam filiae Sion et beat | Cantus ID 007455 | | Respond | h981",3
"517","Quae est ista quae progreditur quasi aurora consurgens pulchra ut luna electa ut sol terribilis ut c | Cantus ID 004425.1 | Song of songs 6:9 | Antiphon | h982",1
"518","Quae est ista que ascendit | HORAE | Song of songs 3:6 | Lesson | h1349",1
"519","Quae est ista que ascendit | HORAE | Song of songs 3:6 | Short lesson | h983",2
"520","Quae est ista que processit sicut sol et formosa tanquam Ierusalem | HORAE | Song of songs 6:8 | Short lesson | h1297",1
"521","Quae est ista, que progreditur, quasi aurora consurgens, pulcra ut luna, electa ut sol, terribilis u | HORAE | Song of songs 6:9 | Short lesson | h984",9
"522","Qualis est dilectus meus ex | Cantus ID 204034 | | Antiphon | h985",1
"523","Quam bonus Israël Deus,his qui recto sunt corde ! Mei autem pene moti sunt pedes,pene effusi sunt gr | HORAE | Psalm 72 | Psalm | h986",1
"524","Quam felix et gloriosa es | HORAE | | Lesson | h987",1
"525","Quam pulchra es amica mea | HORAE | Song of songs 4:1 | Short lesson | h988",2
"526","Quando natus es in effabiliter tunc implete sunt scripture sicut | Cantus ID 004441 | Psalm 71:6 | Antiphon | h990",72
"527","Quare fremuerunt gentes, et populi meditati sunt inania ? Astiterunt reges terræ,Quare fremuerunt ge | HORAE | Psalm 2 | Psalm | h993",54
"528","Quas igitur tibi laudes | HORAE | | Lesson | h994",1
"529","Quasi cedrus exaltata sum | HORAE | Ecclesiasticus 24:17 | Short lesson | h995",45
"530","Quasi cedrus exaltata sum in | Cantus ID 004450 | Ecclesiasticus 24:17 | Antiphon | h996",2
"531","Quasi cedrus exaltata sum in Libano, et quasi cupressus in montibus Hermon. | HORAE | Ecclesiasticus 24:17-20 | Lesson | h997",26
"532","Quasi Libanus non incisus | HORAE | Ecclesiasticus 24:21 | Short lesson | h998",1
"533","Quasi oliva speciosa | HORAE | Ecclesiasticus 24:19 | Short lesson | h999",4
"534","Quem credimus ex virgine natum | HORAE | | Hymn | h1001",2
"535","Quem terra pontus sidera colunt adorant praedicant trinam regentem machinam claustrum Mariae bajulat | Cantus ID 008375.1 | | Hymn | h1002",2
"536","Quem terra, pontus, aethera, Colunt, adorant, praedicant, Trinam regentem machinam Claustrum Mariae | AH 22290 | Cantus ID 008375 | | Hymn | h1003",178
"537","Qui confidunt in Domino, sicut mons Sion :non commovebitur in aeternum,qui habitat  in Jerusalem.Mon | HORAE | Psalm 124 | Psalm | h1006",208
"538","Qui de virgine nasci dignatus es | Cantus ID 006276a | | Verse | h1352",7
"539","Qui dignatus es de virgine nasci | Cantus ID 602970b | | Verse | h1350",2
"540","Qui edunt me | HORAE | Ecclesiasticus 24:29 | Short lesson | h1007",1
"541","Qui gloriatur in domino | HORAE | 1 Corinthians 1:31 | Short lesson | h1010",3
"542","Qui habitat in adjutorio Altissimi,in protectione Dei caeli commorabitur. Dicet Domino : Susceptor m | HORAE | Psalm 90 | Psalm | h1011",5
"543","Qui natus es de virgine Maria miserere nobis | Cantus ID 601272d | | Verse | h1015",6
"544","Qui nos redemit | HORAE | | Verse | h12366",1
"545","Quia concupivit rex speciem tuam quia ipse est dominus deus tuus | Cantus ID 007732a | Psalm 44:12 | Verse | h1021",2
"546","Quia nimirum ipse Spiritus qui ei prophetiae donum contulit, munus pariter humilitatis praestitit | HORAE | Beda, Homiliae (PL 94, 17 b) | Lesson | h1024",1
"547","Quicumque vult salvus esse, ante omnia opus est ut teneat catholicam fidem : Quam nisi quisque integ | HORAE | Athanasian Creed | Psalm | h1028",3
"548","Quo abiit dilectus tuus | HORAE | | Respond | h1031",1
"549","Quod chorus vatum venerandus olim Spiritu sancto cecinit repletus, in Dei factum genetrice constat e | AH 22559 | | Hymn | h1032",1
"550","Quomodo dilexi legem tuam, Domine ! tota die meditatio mea est | HORAE | Psalm 118, 97 | Psalm | h1034",10
"551","Quomodo fiet istud angele dei quia virum in concipiendo non pertuli audi Maria virgo Christi spiritu | Cantus ID 004563 | | Antiphon | h1035",1
"552","Quoniam peccatorum mole premimur et non est qui adjuvet | Cantus ID 006278a | | Verse | h1039",1
"553","Quoniam peccatorum mole premimur et non est qui adjuvet | HORAE | | Response | h1334",5
"554","Radicavi in populo honorificato | HORAE | Ecclesiasticus 24:16 | Short lesson | h1042",100
"555","Recordare nostri | HORAE | | Lesson | h1043",1
"556","Rector potens viventium salusque morientium, defunctis fidelibus miserere propitius. Qui tua sunt pl | AH 22686 | | Hymn | h1044",1
"557","Regali ex progenie Maria exorta refulget cujus precibus nos adjuvari mente et spiritu devotissime po | Cantus ID 004591 | | Antiphon | h1047",14
"558","Regali ex progenie Maria virgo exorta refulget cujus precibus nos adjuvari mente et spiritu devotiss | Cantus ID 007519 | | Respond | h1048",1
"559","Regem caelorum | HORAE | | Versicle | h1314",1
"560","Regem caelorum genuisti regina perennis | Cantus ID 007521 | | Respond | h1049",1
"561","Regem virginum dominum venite adoremus | Cantus ID 001151 | | Invitatory | h1300",3
"562","Regi autem seculorum immortali | HORAE | 1 Timothy 1:17 | Short lesson | h1051",3
"563","Regina decus virginum | HORAE | | Lesson | h1053",1
"564","Regina mundi et domina | HORAE | Cantus ID 204242 | Lesson | h1054",2
"565","Regina mundi et domina virgo | Cantus ID 204242 | | Antiphon | h1055",3
"566","Rerum Deus omnium, qui es sanctorum gaudium, miserere, quaesumus, defunctis fidelibus. Latroni per c | AH 23084 | | Hymn | h1060",1
"567","Retribue servo tuo, vivifica me, et custodiam sermones tuos | HORAE | Psalm 118, 17 | Psalm | h1062",30
"568","Rex Christe clementissime, Praesta pacem ecclesiae, Illam regendo dirige Nosque fovendo protege. Pre | AH 23188 | | Hymn | h1064",38
"569","Rex Christe clementissime, Praesta pacem ecclesiae, Illam regendo dirige Nosque fovendo protege. Pre | AH 23188 | | Hymn | h1064|Memento salutis auctor. Quod nostri quondam corporis, Ex illibata vir gine Nascendo, formam sumpseri | Cantus ID 8248z | AH 5047 | Hymn | h750|Maria mater gratiae | Cantus ID 830214 | AH 16455 | Hymn | h730",4
"570","Rogamus te virgo virginum | Cantus ID 204313 | | Antiphon | h1066",9
"571","Rogemus omnes populi | HORAE | | Hymn | h1067",4
"572","Rubum quem viderat moyses in combustum conservatam | Cantus ID 004669 | Exodus 3:2-3 | Antiphon | h1068",93
"573","Saepe expugnaverunt me a juventute mea,dicat nunc Israël ; saepe expugnaverunt me a juventute mea :e | HORAE | Psalm 128 | Psalm | h1069",151
"574","Salvator mundi salva nos omnes sancta dei genetrix virgo semper Maria ora pro nobis precibus quoque | Cantus ID 004689 | | Antiphon | h1075",1
"575","Salve Maria lux et mundi domina | Cantus ID 600181 | | Respond | h1076",1
"576","Salve porta Dei | HORAE | | Versicle | h1315",1
"577","Salve porta poli per quam lux splenduit orbi | Cantus ID 602053 | | Respond | h1077",1
"578","Salve regina misericordiae vita dulcedo et spes nostra salve ad te clamamus exsules filii Evae | HORAE | Cantus ID 204367 | Lesson | h1078",1
"579","Salve regina misericordiae vita dulcedo et spes nostra salve ad te clamamus exsules filii Evae ad te | Cantus ID 204367 | | Antiphon | h1079",9
"580","Salve sponsa Dei | HORAE | | Respond | h1081",1
"581","Sancta dei genetrix intercede pro nobis | Cantus ID 001157 | | Invitatory | h12344",1
"582","Sancta dei genetrix virgo semper Maria | Cantus ID a00181 | | Versicle | h1316",8
"583","Sancta dei genetrix virgo semper Maria intercede pro nobis ad dominum Jesum Christum | Cantus ID 004699 | | Antiphon | h1086",88
"584","Sancta dei genitrix | Cantus ID 602956a | | Verse | h1087",14
"585","Sancta Dei genitrix que digne meruisti concipere quem totus orbis nequiuit comprehendere tuo pio int | HORAE | Incertus 151, Excerpta ex liturgicis codicibus Fontavellanensibus (PL 151, 970 d) | Lesson | h1089",57
"586","Sancta dei genitrix virgo semper Maria | Cantus ID 007568 | | Respond | h1092",49
"587","Sancta ergo Maria | HORAE | | Lesson | h1094",1
"588","Sancta et immaculata virginitas | HORAE | Cantus ID 004700 | Short lesson | h1095",9
"589","Sancta et immaculata virginitas quibus te laudibus referam nescio quia quem caeli capere non poteran | Cantus ID 007569 | | Respond | h1096",161
"590","Sancta Maria Dei genitrix | HORAE | | Lesson | h1098",2
"591","Sancta Maria mater | HORAE | | Versicle | h1317",3
"592","Sancta maria mater Christi | HORAE | | Respond | h1099",11
"593","Sancta Maria mater Domini nostri Jesu Christi in manus tuas et in manus tuas filii tui commendo die | HORAE | | Oration | h1101",1
"594","Sancta Maria per obedientiam | HORAE | | Lesson | h1103",1
"595","Sancta Maria sanctarum sanctissima | HORAE | | Lesson | h1104",1
"596","Sancta Maria succurre miseris juva pusillanimes refove flebiles ora pro populo interveni pro clero i | Cantus ID 004703.1 | Fulberti Carnotensis episcopi, Sermo IX (PL 141, 338 d - 340) | Antiphon | h1105",161
"597","Sancta maria virginum | Cantus ID 204390 | | Antiphon | h1106",3
"598","Sancta Maria virgo intercede pro toto mundo quia genuisti regem orbis | Cantus ID 004705 | | Antiphon | h1107",5
"599","Sancta Maria virgo perpetua | Cantus ID 204391 | | Antiphon | h1108",1
"600","Sancta Maria virgo piissima | HORAE | | Lesson | h1109",1
"601","Sancta Maria virgo semper | HORAE | | Lesson | h1110",1
"602","Sancta Maria, piarum piissima intercede pro nobis, sanctarum sanctissima, ut per te uirgo sumat nost | HORAE | Fulberti Carnotensis episcopi, Sermo IX (PL 141, 338 d - 340) | Lesson | h1112",59
"603","Sancta Maria, succurre miseris, iuua pusillanimes, refoue flebiles, ora pro populo, interueni pro cl | HORAE | Fulberti Carnotensis episcopi, Sermo IX (PL 141, 338 d - 340) | Lesson | h1113",65
"604","Sancta Maria, uirgo uirginum mater et filia regis regum omnium tuum nobis impende solatium ut celest | HORAE | Incertus 151, Excerpta ex liturgicis codicibus Fontavellanensibus (PL 151, 970 d) | Lesson | h1114",72
"605","Sancta regina caeli | HORAE | | Lesson | h1115",1
"606","Sanctae dei genitricis Mariae atque omnium sanctorum tuorum, quaesumus, domine, supplicatione placat | Corpus Orationum 5308 | | Oration | h11193",1
"607","Sancti quesumus Domine beato Iohannes | HORAE | | Oration | h1124",1
"608","Sancti spiritus, domine, corda nostra mundet infusio et sui roris intima adspersione fecundet | Corpus Orationum 5351b | | Oration | h1126",6
"609","Sancti tui, quaesumus, domine, iugiter nobis a te et veniam postulent et profectum | Corpus Orationum 5358 | | Oration | h1338",4
"610","Sanctissima Dei genitrix | HORAE | | Lesson | h1128",2
"611","Sanctorum tuorum, domine, intercessione placatus, praesta, quaesumus, ut, quae temporali celebramus | Corpus Orationum 5429 bis | | Oration | h1339",2
"612","Sanctorum tuorum, domine, precibus adiuvemur et, quod possibilitas nostra non obtinet, eorum nobis p | Corpus Orationum 5431a | | Oration | h1340",4
"613","Sapiencia in ecclesia altissimi | HORAE | Ecclesiasticus 24:1-2 | Short lesson | h1132",1
"614","Sapientia vincit | HORAE | Wisdom of Solomon 7:30 | Short lesson | h1133",1
"615","Scimus quoniam diligentibus Deum omnia cooperantur in bonum his qui secundum propositum vocati sunt | HORAE | Romans 8:28 | Short lesson | h1134",2
"616","Sentiant nos | HORAE | | Respond | h1137",1
"617","Si ignoras te o pulchra | Cantus ID 204623 | | Antiphon | h1139",1
"618","Sicut cedrus exaltata sum | HORAE | Ecclesiasticus 24:17 | Lesson | h1141",1
"619","Sicut cedrus exaltata sum | HORAE | Ecclesiasticus 24:17 | Short lesson | h1142",2
"620","Sicut cedrus exaltata sum in Libano et sicut cypressus in monte Sion quasi myrrha electa dedi suavit | Cantus ID 007657 | Ecclesiasticus 24:17 | Respond | h1143",20
"621","Sicut cinnamomum et balsamum aromatizans odorem dedisti sancta dei genetrix | Cantus ID 004929 | Ecclesiasticus 24:20 | Antiphon | h1144",1
"622","Sicut cynamomum et balsamum | HORAE | Ecclesiasticus 24:20 | Short lesson | h1145",156
"623","Sicut letantium omnium habitatio est in te sancta Dei genitrix | Cantus ID 004936 | Psalm 86:7 | Antiphon | h1146",2
"624","Sicut lilium inter spinas | HORAE | Song of songs 2:2 | Short lesson | h1147",2
"625","Sicut lilium inter spinas sic amica mea inter filias | Cantus ID 004937 | Song of songs 2:2 | Antiphon | h1148",23
"626","Sicut mirra electa odorem dedisti suavitatis, sancta Dei genitrix | Cantus ID 004942 | Ecclesiasticus 24:20 | Antiphon | h1149",58
"627","Sicut myrrha electa odorem | HORAE | | Respond | h1324",1
"628","Sicut rosa inter spinas illis addit speciem sic venustat suam virgo Maria progeniem germinavit enim | Cantus ID 602209 | | Respond | h1150",1
"629","Singularis ista virgo | HORAE | | Lesson | h1151",2
"630","Singularis meriti sola sine exemplo mater et virgo Maria | HORAE | Anselmus Cantuariensis, Oratio XLIX (PL 158, 946 b) | Lesson | h1152",2
"631","Sit porta Christi | HORAE | | Hymn | h1155",1
"632","Sola fuit mulier paruit qua janua laeto et qua vita reddidit | Cantus ID 007270a | | Verse | h1309",1
"633","Solem justitiae regem paritura supremum stella Maria maris hodie processit ad ortum | Cantus ID 007677 | Malachi 4:2 | Respond | h1157",4
"634","Solve vincula reis | HORAE | | Hymn | h1158",5
"635","Specie tua et pulchritudine | Cantus ID 008201 | Psalm 44:5 | Versicle | h1159",2
"636","Specie tua et pulchritudine tua intende prospere procede et regna | Cantus ID 004987 | Psalm 44:5 | Antiphon | h1160",1
"637","Specie tua et pulchritudine tua intende prospere procede et regna | Cantus ID 006994a | Psalm 44:5 | Verse | h1161",2
"638","Specie tua et pulchritudine tua intende prospere procede et regna | Cantus ID 007680 | Psalm 44:5 | Respond | h1162",20
"639","Speciosa facta es | Cantus ID 008202.1 | | Versicle | h1318",9
"640","Speciosa facta es et suavis | Cantus ID 602225 | Song of songs 7:7 | Respond | h1164",23
"641","Speciosa facta es et suavis | HORAE | Cantus ID 004988 | Short lesson | h1163",4
"642","Speciosa facta es et suavis in deliciis tuis | Cantus ID 006070a | Song of songs 7:7 | Verse | h1165",20
"643","Speciosa facta es, et suavis in deliciis tuis, sancta Dei genitrix. | Cantus ID 004988 | Song of songs 7:6-7 | Antiphon | h1166",12
"644","Spiritui sancto | HORAE | | Respond | h1167",1
"645","Spiritus enim meus | HORAE | | Short lesson | h1168",2
"646","Spiritus sanctus in te descendet Maria ne timeas habebis in utero filium dei alleluia | Cantus ID 005006 | Luke 1:35 | Antiphon | h1177",4
"647","Spiritus sanctus superveniet in te | Cantus ID a00414 | | Versicle | h1319",3
"648","Spiritus sanctus superveniet in te | HORAE | Luke 1:35 | Antiphon | h1178",1
"649","Stirps Jesse virgam produxit virgaque florem et super hunc florem requiescit spiritus almus | Cantus ID 007709 | Isaiah 11:1 | Respond | h1181",3
"650","Sub tuam protectionem confugimus ubi infirmi acceperunt virtutem et propter hoc tibi psallimus dei g | Cantus ID 005040 | | Antiphon | h1182",44
"651","Sub tuum praesidium confugimus sancta Dei genitrix: nostras deprecationes ne despicias in necessitat | Cantus ID 005041 | | Antiphon | h1183",81
"652","Sub tuum praesidium confugimus sancta Dei genitrix: nostras deprecationes ne despicias in necessitat | Cantus ID 005041 | | Antiphon | h1183|Hortus conclusus es dei genetrix hortus conclusus fons signatus surge propera amica mea | Cantus ID 003137 | | Antiphon | h600",1
"653","Succurre alma genetrix Christi miseris ad te confugientibus adjuva et refove omnes qui in te confidu | Cantus ID 005050 | | Antiphon | h1184",8
"654","Succurre ergo benignissima | HORAE | | Lesson | h1185",2
"655","Succurre ergo sancta Dei genitrix | HORAE | | Lesson | h1186",1
"656","Succurre igitur | HORAE | | Lesson | h1187",1
"657","Succurre piissima virgo | HORAE | | Lesson | h1189",1
"658","Super choros angelorum ad caelestia regna | Cantus ID 600817a | | Verse | h1191",3
"659","Super chorus angelorum ad caelestia regna | Cantus ID 008063 | | Response | h1331",4
"660","Super decorem et omnem pulchritudinem | HORAE | | Short lesson | h1192",1
"661","Super salutem et omnem pulchritudinem dilecta es a domino et regina caelorum vocari digna es gaudent | Cantus ID 007726 | | Respond | h1193",1
"662","Super salutem et speciem dilexi illam | HORAE | Wisdom of Solomon 7:10 | Short lesson | h1194",1
"663","Supplicationem servorum tuorum, deus miserator, exaudi, ut, qui in nativitate dei genitricis et virg | Corpus Orationum 5675 | | Oration | h1342",1
"664","Surge beatissima Virgo Maria misericorditer actura pro nobis surge et amplectere misericordiam redem | HORAE | Anselmus Cantuariensis, Oratio LIV (PL 158, 960d) | Lesson | h1195",6
"665","Surge propera amica mea | HORAE | Song of songs 2:10 | Short lesson | h1196",2
"666","Suscipe verbum virgo Maria quod tibi a domino per angelum transmissum est concipies per aurem deum p | Cantus ID 007744 | Luke 1:28 - 1:42 | Respond | h1201",1
"667","Suscipiat benignissima | HORAE | | Lesson | h1203",1
"668","Te decus virgineum virgo dei genetrix Maria te solam inter omnes virgines castissimam exoramus ut pr | Cantus ID 005116 | | Antiphon | h1207",1
"669","Te ergo Dei genitrix | HORAE | | Lesson | h1210",1
"670","Te laudant angeli atque archangeli sancta Dei genitrix que virum non cognouisti et Domini Deum nostr | HORAE | Cantus ID 007756 | Short lesson | h1212",13
"671","Te laudant angeli sancta dei genetrix quae virum non cognovisti et dominum in tuo utero bajulasti co | Cantus ID 007756 | | Respond | h1213",1
"672","Tota pulchra es | HORAE | Song of songs 4:7 | Short lesson | h1215",3
"673","Tota pulchra es amica mea et macula non est in te favus distillans labia tua mel et lac sub lingua t | Cantus ID 005162 | Song of songs 4:7 | Antiphon | h1216",14
"674","Trahe me post te | HORAE | Song of songs 1:3 | Short lesson | h1217",5
"675","Transite ad me omnes qui concupiscitis me | HORAE | Ecclesiasticus 24:26 | Short lesson | h1218",17
"676","Tribue, quaesumus, domine, sanctos tuos et iugiter orare pro nobis et semper clementer audiri | Corpus Orationum 5921 | | Oration | h1343",5
"677","Tu autem in nobis es Domine et nomen tuum super nos invocatum est ne derelinquas nos | HORAE | Jeremiah 14:9 | Short lesson | h1222",1
"678","Ure igne sancti spiritus renes nostros et cor nostrum, domine, ut tibi caste et corde serviamus et c | Corpus Orationum 6025 | | Oration | h1228",2
"679","Usquequo, Domine, oblivisceris me in finem ?usquequo avertis faciem tuam a me ? quamdiu ponam consil | HORAE | Psalm 12 | Psalm | h1229",101
"680","Ut digni efficiamur promissione Christi | Cantus ID 007577a | | Verse | h1231",22
"681","Ut digni efficiamur promissionibus Christi | Cantus ID 008164 ; BU VersResp 243 | | Response | h1232",3
"682","Ut radicavi | HORAE | | Short lesson | h1237",1
"683","Ut tuam, Domine, misericordiam consequamur, fac nos tibi toto corde esse devotos | HORAE | | Oration | h1345",2
"684","Veneremur fratres mei | HORAE | | Lesson | h1244",2
"685","Veni benedicta nobis de celo | HORAE | | Lesson | h1245",1
"686","Veni benedicta nobis virgo | HORAE | | Lesson | h1246",1
"687","Veni creator Spiritus, Mentes tuorum visita, Imple superna gratia, Quae tu creasti pectora. Qui para | AH 27066 | | Hymn | h1247",209
"688","Veni creator Spiritus, Mentes tuorum visita, Imple superna gratia, Quae tu creasti pectora. Qui para | AH 27066 | | Hymn | h1247|A solis ortus cardine ad usque terrae limitem Christum canamus principem natum Maria virgine ; Beatu | Cantus ID 008248.1 | AH 67 | Hymn | h8",1
"689","Veni creator Spiritus, Mentes tuorum visita, Imple superna gratia, Quae tu creasti pectora. Qui para | AH 27066 | | Hymn | h1247|A solis ortus cardine ad usque terrae limitem Christum canamus principem natum Maria virgine ; Beatu | Cantus ID 008248.1 | AH 67 | Hymn | h8|Fili Mariae virginis, da nobis eius meritis a peccato resurgere et ad vitam pertingere. Cuius es fac | AH 9629 | | Hymn | h536",1
